Topic,government,election,party,labour,plan,rise,market,company,economy,tory,film,good,music,game,show,award,mobile,phone,include,number,win,play,player,match,final,club,back,team,drug,test,iaaf,ban,dope,athlete,apple,charge,lawsuit,decision
0,0.03420409768873916,0.0305486517256799,0.02779197757318932,0.02563314791405817,0.022431674398875816,0.02168680506649608,0.020881819093515212,0.02074833755379085,0.020192522344046348,0.020189216028236905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04717301562804502,0.035993444495160475,0.032544001679181256,0.030467104401338905,0.030118915414586712,0.030035708017748353,0.024619783142119215,0.024545519666453724,0.0229018401056693,0.021075950518429726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03686704151227094,0.0,0.04438871618389457,0.0,0.0,0.0,0.0,0.0,0.0,0.06481759028628141,0.05251695967635984,0.04261105959379879,0.04120214777160816,0.038282011973780124,0.03801437783472059,0.03431793353393667,0.031664756928511534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10019416752802213,0.09323108345139927,0.07791979776690527,0.06519464246449637,0.06263148218255786,0.054697394145618,0.05223156377526956,0.04886165388811514,0.04459737734794764,0.04225814133435837
